Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"Acie Law",190,88,"Texas A&M University",1985,Dallas,Texas,3,1,25.00,4,42.60,1.40,575.40,7.98,0.45,0.21,0.37,2.04,8.66,5.32,19.06,1.90,0.08,18.80,16.02,0.00,0.28,0.28,0.00,-4.06,-1.78,-5.82,-0.48,61.80,149.60,0.37,5.60,27.00,0.18,56.20,122.60,0.42,0.38,36.20,47.20,0.74,8.40,39.80,48.20,73.40,20.80,0.60,34.20,47.60,165.40
"Adam Keefe",206,104,"Stanford University",1970,Irvine,California,9,3,26.00,3,68.56,10.89,1148.22,12.24,0.54,0.01,0.54,11.41,17.60,14.54,6.26,1.54,1.33,17.27,14.43,1.47,1.30,2.77,0.10,-1.44,0.62,-0.81,0.54,124.44,247.78,0.48,0.11,1.56,0.06,124.33,246.22,0.49,0.49,96.22,134.78,0.71,111.00,173.00,284.00,47.44,34.11,19.22,60.56,123.78,345.22
"Adam Morrison",203,92,"Gonzaga University",1984,Glendive,Montana,2,2,23.50,3,45.50,8.25,937.00,5.58,0.43,0.37,0.14,3.50,11.32,7.45,9.98,0.50,0.30,13.48,18.35,-0.85,0.48,-0.35,-0.02,-4.20,-2.00,-6.20,-0.82,128.75,347.50,0.36,37.75,112.50,0.31,91.00,235.00,0.38,0.42,38.50,53.75,0.68,22.50,75.00,97.50,61.25,11.50,3.50,48.50,83.25,333.75
"Adonal Foyle",208,113,"Colgate University",1975,Canouan,"Saint Vincent and the Grenadines",10,1,26.60,2,67.50,26.30,1252.30,11.99,0.48,0.00,0.27,10.73,18.87,14.72,4.07,1.02,6.11,16.22,12.63,0.27,1.47,1.74,0.06,-3.96,2.69,-1.28,0.34,126.30,267.00,0.47,0.00,0.20,0.00,126.30,266.80,0.47,0.47,33.90,67.60,0.50,124.10,206.80,330.90,32.40,25.30,113.50,57.10,150.90,286.50
"Adreian Payne",208,107,"Michigan State University",1991,Dayton,Ohio,1,1,23.00,3,21.33,14.67,492.67,6.13,0.40,0.07,0.23,6.87,17.97,12.33,4.33,1.77,0.67,10.47,17.63,-0.43,0.13,-0.33,-0.04,-6.17,-2.33,-8.50,-0.50,60.67,146.67,0.37,0.67,6.00,0.08,60.00,140.67,0.40,0.37,20.00,30.67,0.60,32.00,76.00,108.00,20.00,12.67,6.00,29.33,58.67,142.00
"Adrian Branch",201,83,"University of Maryland",1963,Washington,"District of Columbia",1,1,25.00,1,67.00,4.00,811.00,15.70,0.51,0.07,0.28,8.20,9.60,8.80,10.80,2.60,0.20,11.60,26.30,0.70,0.80,1.50,0.09,-0.40,-2.20,-2.60,-0.10,202.00,436.00,0.46,7.00,31.00,0.23,195.00,405.00,0.48,0.47,87.00,120.00,0.73,63.00,69.00,132.00,60.00,45.00,3.00,64.00,99.00,498.00
"Adrian Caldwell",203,120,"Lamar University",1966,"Falls County",Texas,1,1,30.00,3,30.00,0.00,379.33,7.13,0.43,0.03,0.54,10.60,21.40,15.80,3.13,1.50,0.93,20.00,10.70,-0.13,0.30,0.13,0.01,-5.40,-0.80,-6.20,-0.40,26.67,61.33,0.42,0.00,1.33,0.00,26.67,60.00,0.42,0.42,14.00,33.33,0.44,38.67,72.67,111.33,8.00,10.67,5.33,18.67,58.00,67.33
"Adrian Dantley*",196,94,"University of Notre Dame",1956,Washington,"District of Columbia",14,1,26.50,7,60.94,55.73,2187.78,20.83,0.61,0.00,0.57,7.15,10.08,8.64,12.61,1.29,0.28,12.56,25.25,7.02,1.50,8.55,0.18,3.97,-1.27,2.69,2.78,511.00,952.94,0.53,0.46,3.00,0.11,510.67,950.78,0.53,0.53,434.17,531.83,0.82,143.39,211.00,354.39,180.28,61.11,10.39,169.88,164.50,1456.50
"Adrian Griffin",196,98,"Seton Hall University",1974,Wichita,Kansas,7,3,30.22,5,49.89,20.00,866.00,10.87,0.46,0.05,0.18,8.32,13.67,10.98,12.36,2.84,0.52,16.93,13.20,0.63,1.10,1.76,0.07,-2.04,2.01,-0.04,0.69,86.33,195.00,0.43,4.44,16.89,0.17,81.89,178.11,0.44,0.43,31.78,41.44,0.75,56.33,106.44,162.78,71.44,47.56,6.00,36.78,93.78,208.89
"Adrian Smith",185,81,"University of Kentucky",1936,Farmington,Kentucky,9,1,29.73,3,70.45,,1742.18,11.85,0.50,,0.40,,,,13.14,,,,,2.16,0.75,2.92,0.07,,,,,291.09,683.73,0.42,,,,291.09,683.73,0.42,0.42,220.45,262.82,0.84,,,148.91,163.55,,,,167.09,802.64
"Al Attles",183,79,"North Carolina Agricultural and Technical State University",1936,Newark,"New Jersey",10,1,28.50,2,67.70,,1750.50,11.30,0.49,,0.39,,,,21.30,,,,,1.57,2.04,3.62,0.09,,,,,247.70,549.10,0.45,,,,247.70,549.10,0.45,0.45,130.60,206.50,0.63,,,242.30,242.50,,,,235.80,626.00
